date	Fire	Aspect	Species	Direction	frameID	height_header_note	height_header_A	height_header_B	height_header_C	height_header_D	height_header_E	height_10_note	height_10_A	height_10_B	height_10_C	height_10_D	height_10_E	height_9_note	height_9_A	height_9_B	height_9_C	height_9_D	height_9_E	height_8_note	height_8_A	height_8_B	height_8_C	height_8_D	height_8_E	height_7_note	height_7_A	height_7_B	height_7_C	height_7_D	height_7_E	height_6_note	height_6_A	height_6_B	height_6_C	height_6_D	height_6_E	height_5_note	height_5_A	height_5_B	height_5_C	height_5_D	height_5_E	height_4_note	height_4_A	height_4_B	height_4_C	height_4_D	height_4_E	height_3_note	height_3_A	height_3_B	height_3_C	height_3_D	height_3_E	height_2_note	height_2_A	height_2_B	height_2_C	height_2_D	height_2_E	height_1_note	height_1_A	height_1_B	height_1_C	height_1_D	height_1_E	basal_header_note	basal_header_A	basal_header_B	basal_header_C	basal_header_D	basal_header_E	basal_10_note	basal_10_A	basal_10_B	basal_10_C	basal_10_D	basal_10_E	basal_9_note	basal_9_A	basal_9_B	basal_9_C	basal_9_D	basal_9_E	basal_8_note	basal_8_A	basal_8_B	basal_8_C	basal_8_D	basal_8_E	basal_7_note	basal_7_A	basal_7_B	basal_7_C	basal_7_D	basal_7_E	basal_6_note	basal_6_A	basal_6_B	basal_6_C	basal_6_D	basal_6_E	basal_5_note	basal_5_A	basal_5_B	basal_5_C	basal_5_D	basal_5_E	basal_4_note	basal_4_A	basal_4_B	basal_4_C	basal_4_D	basal_4_E	basal_3_note	basal_3_A	basal_3_B	basal_3_C	basal_3_D	basal_3_E	basal_2_note	basal_2_A	basal_2_B	basal_2_C	basal_2_D	basal_2_E	basal_1_note	basal_1_A	basal_1_B	basal_1_C	basal_1_D	basal_1_E	Notes	_id	_uuid	_submission_time	_index
7/23/18	buffalo	south	pico	ne	60																																																																																																																																					Nothing	12922404	6d1498ad-20e9-4309-83da-6a93bee5df1d	2018-07-27T23:48:01	505
8/3/18	buffalo	south	pico	ne	60																																																																																																																																					Nothing	13135555	77d694d1-7f0e-445d-b3d0-2615e6241dcf	2018-08-04T00:55:00	685
10/20/18	buffalo	south	pico	ne	60																																																																																																																																									
7/8/18	buffalo	south	pico	sw	78																																																																																																																																					Nothing	12215520	3d347f47-31b6-4d9e-bf17-a6e5f9be737a	2018-07-08T21:06:06	300
7/23/18	buffalo	south	pico	sw	78																																																																																																																																					Nothing	12922411	93ad8a57-8b18-44d9-ad5b-08084ec9e8c7	2018-07-27T23:48:12	498
8/3/18	buffalo	south	pico	sw	78																																																																																																																																					Nothing	13135561	4986b0e5-6543-4eff-86ae-13e70a112a4e	2018-08-04T00:55:05	679
10/20/18	buffalo	south	pico	sw	78																																																																																																																																									
7/8/18	buffalo	south	pico	center	380																																																																																																																																					Nothing	12215526	b0b72cd5-6713-4050-84f3-b13af24f64bf	2018-07-08T21:06:16	303
7/23/18	buffalo	south	pico	center	380																																																																																																																																					Nothing	12922417	f1b8604a-7972-4d2a-a6dd-2380a651d3a7	2018-07-27T23:48:21	492
8/3/18	buffalo	south	pico	center	380																																																																																																																																					Nothing	13135568	154e1951-6200-459b-9e8e-1a2059b04f94	2018-08-04T00:55:10	673
10/20/18	buffalo	south	pico	center	380																																																																																																																																									
7/8/18	buffalo	south	pmse	sw	9																																																																																																																																					Nothing	12215519	4e1feee5-bd88-4be7-a4a2-1838cea72be0	2018-07-08T21:06:05	299
7/23/18	buffalo	south	pmse	sw	9																																																																																																																																					Nothing	12922410	8b568ffe-e20e-4344-8974-6a2b260036b4	2018-07-27T23:48:11	499
8/3/18	buffalo	south	pmse	sw	9																																																																																																																																					Nothing	13135562	2b35beda-f29e-4eb6-8fae-da286710a0a4	2018-08-04T00:55:06	678
10/20/18	buffalo	south	pmse	sw	9																																																																																																																																									
7/8/18	buffalo	south	pmse	center	118																																																																																																																																					Nothing	12215525	49a97fa2-a41a-47f2-a8f5-86b3139db686	2018-07-08T21:06:15	302
7/23/18	buffalo	south	pmse	center	118																																																																																																																																					Nothing	12922416	eb95ca70-632e-4170-b6af-94fdd07f24aa	2018-07-27T23:48:19	493
8/3/18	buffalo	south	pmse	center	118																																																																																																																																					Nothing	13135567	6deaf75b-04a3-4bb6-8006-fefe3a064dba	2018-08-04T00:55:10	674
10/20/18	buffalo	south	pmse	center	118																																																																																																																																									
7/8/18	buffalo	south	pmse	nw	153																																																																																																																																					Nothing	12215510	2ea9567b-900f-4e8c-ae79-ccbbb710e99a	2018-07-08T21:05:57	290
7/23/18	buffalo	south	pmse	nw	153																																																																																																																																					Nothing	12922413	b726b056-7487-4e48-be8a-299caee05781	2018-07-27T23:48:16	496
8/3/18	buffalo	south	pmse	nw	153																																																																																																																																					Nothing	13135564	73aba00c-640d-4b43-ae4f-efbc291bc598	2018-08-04T00:55:07	677
10/20/18	buffalo	south	pmse	nw	153																																																																																																																																									
7/8/18	buffalo	south	pmse	ne	164																																																						27																																																																		93														12215515	23add5c7-8f3c-4934-9b74-c38e09cdba2d	2018-07-08T21:06:00	295
7/23/18	buffalo	south	pmse	ne	164																																																						-999																																																																																12922409	0eae5de3-6433-447d-9d2b-275fa42ad9e3	2018-07-27T23:48:10	500
8/3/18	buffalo	south	pmse	ne	164																																																						-999																																																																																13135556	dcaaef06-19b9-41cd-a654-76b2531d4457	2018-08-04T00:55:01	684
10/20/18	buffalo	south	pmse	ne	164																																																																																																																																									
7/8/18	buffalo	south	pmse	se	494																																																																																																																																					Nothing	12215518	ebc5433d-c8a3-4be2-90cb-8e6a905990ff	2018-07-08T21:06:04	298
7/23/18	buffalo	south	pmse	se	494																																																																																																																																					Nothing	12922408	c0e31670-88ff-48b4-adbd-0b427acf53ca	2018-07-27T23:48:08	501
8/3/18	buffalo	south	pmse	se	494																																																																																																																																					Nothing	13135559	45aee3d5-c2e4-4dda-8ef9-d143d5edf1cd	2018-08-04T00:55:04	681
10/20/18	buffalo	south	pmse	se	494																																																																																																																																									
6/25/18	maple	flat	control	se	15																																																																																																																																					Nothing	11828249	f7b5beb6-374d-4b76-8de9-f3a85c2f9942	2018-06-29T15:23:25	175
7/9/18	maple	flat	control	se	15																																																																																																																																					Nothing	12401127	6fb86b41-9a7e-4f84-ad06-96638f66e4b4	2018-07-13T03:21:47	358
7/21/18	maple	flat	control	se	15																																																																																																																																					Nothing	12922378	6440e7b5-6cb2-4f2b-a746-4d30050e9150	2018-07-27T23:47:24	527
8/6/18	maple	flat	control	se	15																																																																																																																																					Nothing	13429841	1c7db56b-0870-47a7-baad-d50dd64c597b	2018-08-12T22:21:45	718
10/20/18	maple	flat	control	se	15																																																																																																																																									
6/25/18	maple	flat	control	sw	30																																																																																																																																					Nothing	11828254	1ecd2916-147d-457b-afaf-e4e3abba8ef6	2018-06-29T15:23:27	178
7/9/18	maple	flat	control	sw	30																																																																																																																																					Nothing	12401130	df166680-ec5b-40bd-a3e5-28cc2414d687	2018-07-13T03:21:52	361
7/21/18	maple	flat	control	sw	30																																																																																																																																					Nothing	12922381	90b80006-5723-442e-a5f3-fc454362d500	2018-07-27T23:47:30	524
8/6/18	maple	flat	control	sw	30																																																																																																																																					Nothing	13429846	f31bb204-c453-4eef-9578-3cbed1d47754	2018-08-12T22:21:55	721
10/20/18	maple	flat	control	nw	78																																																																																																																																					Check species				
6/25/18	maple	flat	control	nw	143																																																																																																																																					Nothing	11828260	0b8c926d-a32f-4eb0-b7a5-52933f16245d	2018-06-29T15:23:28	181
7/9/18	maple	flat	control	nw	143																																																																																																																																					Nothing	12401133	a049ca35-f576-42f5-81e8-eabb0f2a6920	2018-07-13T03:21:57	364
7/21/18	maple	flat	control	nw	143																																																																																																																																					Nothing	12922382	f5644bcf-39eb-41c2-a8a3-22a44f7d23a7	2018-07-27T23:47:31	523
8/6/18	maple	flat	control	nw	143																																																																																																																																					Nothing	13429848	6a599a89-ef53-4e65-be72-a369ff8bb618	2018-08-12T22:22:03	723
6/25/18	maple	flat	control	ne	169																																																																																																																																					Nothing	11828244	15e406e3-b6ab-422a-87bf-9a618b8442af	2018-06-29T15:23:23	172
7/9/18	maple	flat	control	ne	169																																																																																																																																					Nothing	12401123	4c25199f-7270-4fec-a1a6-d4dc40738223	2018-07-13T03:21:40	355
7/21/18	maple	flat	control	ne	169																																																																																																																																					Nothing	12922387	01925464-6ba2-4b2e-a63c-9d21ffce49d4	2018-07-27T23:47:37	519
8/6/18	maple	flat	control	ne	169																																																																																																																																					Nothing	13429854	61908bd2-1e82-4847-b3a6-134da2ebccfd	2018-08-12T22:22:11	726
10/20/18	maple	flat	control	ne	169																																																																																																																																									
10/20/18	maple	flat	control	sw	488																																																																																																																																					Check species				
6/25/18	maple	flat	control	center	530																																																																																																																																					Nothing	11828265	51411991-eb84-4ffa-b357-9c3a1e06ce68	2018-06-29T15:23:30	184
7/9/18	maple	flat	control	center	530																																																																																																																																					Nothing	12401120	8f47c033-beaf-4db5-90ce-d12a5e0aa816	2018-07-13T03:21:35	352
7/21/18	maple	flat	control	center	530																																																																																																																																					Nothing	12922373	00aa3807-e6ac-48f6-9d0c-4c90ee544913	2018-07-27T23:47:17	532
8/6/18	maple	flat	control	center	530																																																																																																																																					Nothing	13429838	dc29f00b-efcf-4ea7-9445-d96cf278d3e7	2018-08-12T22:21:37	715
10/20/18	maple	flat	control	center	530																																																																																																																																									
6/25/18	maple	flat	pico	nw	14												16			14	26							16	15									23																																													70			83	96							79	78									89																																			11828258	0366f51c-f6aa-45c2-bde8-4eae12922e2f	2018-06-29T15:23:28	180
7/9/18	maple	flat	pico	nw	14																																									25									9	19							24	14			12																																													81									85	89							81	91			84						12401132	c739a34c-8ac0-49d8-8609-bc43f2e37e16	2018-07-13T03:21:55	363
7/21/18	maple	flat	pico	nw	14												13			16	33							25	11									25																																													85			83	81							86	81									110																																			12922383	02389db2-0ca9-4778-bf3b-c2ae4e57de8a	2018-07-27T23:47:32	522
8/6/18	maple	flat	pico	nw	14																																									24									12	30							34	19			11																																													138									92	81							106	101			86					Previous entries may be reversed	13429847	53d156ef-caa0-468e-968d-0535707ec243	2018-08-12T22:21:59	722
10/20/18	maple	flat	pico	nw	14																																									25									19	37							46	29			-999																																													207									119	178							232	155												
6/25/18	maple	flat	pico	sw	26											-999												-999	11								-999				17			19		16																																																	80												78			101		98																											11828253	958ed7ff-c961-4a8f-823f-03409f3b685c	2018-06-29T15:23:26	177
7/9/18	maple	flat	pico	sw	26																																	13		17			13				-999		-999						13						-999																																											74		76			82												80																		12401129	226506b5-976f-4b32-ab89-8e2978da0246	2018-07-13T03:21:50	360
7/21/18	maple	flat	pico	sw	26																																			9			15				-999								16																																																			83			104												93																		12922380	989d7965-a176-4cad-becf-0f0f29cb9dc2	2018-07-27T23:47:28	525
8/6/18	maple	flat	pico	sw	26																																		-999	30			15												17																																																			88			111												83																		13429845	62c6718a-6def-4fe4-97ae-f67282e14b79	2018-08-12T22:21:51	720
10/20/18	maple	flat	pico	sw	26																																	-999		33			-999				-999								27																																																			142															120																					
6/25/18	maple	flat	pico	center	29																18																																									16	20																								102																																									95	97										11828263	0ea57937-cc81-4f5e-8c25-2008f52f7419	2018-06-29T15:23:30	183
7/9/18	maple	flat	pico	center	29																29	21						16																																			26																								98	95						96																																			100										12401119	71831c00-88b1-45a4-9ba7-bed89a077c88	2018-07-13T03:21:34	351
7/21/18	maple	flat	pico	center	29																32	22						15																																			29																								95	87						90																																			101										12922374	664e9e9c-0597-47ce-8a24-663b54b91be0	2018-07-27T23:47:18	531
8/6/18	maple	flat	pico	center	29																45	28						19																																			37																								123	88						94																																			99										13429836	dccb9635-1850-4f2c-9ef9-e91c0e60a291	2018-08-12T22:21:33	713
10/20/18	maple	flat	pico	center	29																47	29						28																																			41																								169	117						140																																			169													
6/25/18	maple	flat	pico	ne	32														19			16	8		23										13			14														19					28							16																					95			78	80		97										77			90														106					93							103									11828242	34b4c320-20fe-4115-81f2-08dbb7ab81a6	2018-06-29T15:23:22	171
7/9/18	maple	flat	pico	ne	32														22			22	7		21													15														22					35							23																					77			80	70		99													63														87					100		-999					75									12401122	335b87ad-c39e-4df5-890c-ab3887d3a473	2018-07-13T03:21:39	354
7/21/18	maple	flat	pico	ne	32								6				9		23			21			25													19														24					42							28																					80			75			93													87														80					117							97								A10 and E10 underground	12922386	200a66fd-52a5-4b1c-9307-9c14ee8619dd	2018-07-27T23:47:36	475
8/6/18	maple	flat	pico	ne	32														29			20	11		30													22														35					49							31																					101			95	75		98													85														85					159							126									13429851	737da884-0047-4ce9-b18b-17db97da87a0	2018-08-12T22:22:08	725
10/20/18	maple	flat	pico	ne	32														37			24	18		29													-999														42					49							38																					177			160	82		159																											165					207							191												
6/25/18	maple	flat	pico	se	110																												15		21						23						24					11	13																																														123		90						92						92					90	93																				11828248	4e7163e9-7449-4211-acde-059fb58c8404	2018-06-29T15:23:24	174
7/9/18	maple	flat	pico	se	110																												16		20						32						24					13	23																																														99		63						75						83					78	75																				12401126	4fb0fee6-1511-4f88-b4a8-43f9c12a22f8	2018-07-13T03:21:45	357
