(Intercept),Clay,mois_q50_germ,N,organic,temp_q50_germ,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-2.248109466340954,NA,NA,-0.5545044692008956,NA,0.5548152612519448,NA,0.9999983724785799,0.9999983724787288,3,-64.82876561853296,141.6575312370659,44.39326439631222,9.90175789790104e-11
-2.486367444994966,NA,NA,-1.0477994980694667,0.684002248084902,0.7816387206001237,-0.7225732653926331,0.9999999073763887,0.9999999073765375,5,-53.36368784148844,146.72737568297688,49.46310884222319,7.84891398890092e-12
-2.448519575424997,0.4916468308886719,NA,-0.810040601121753,NA,0.6676429367508471,-0.6772330202972427,0.9999998988673172,0.9999998988674661,5,-53.715244861178654,147.43048972235732,50.16622288160363,5.52243097392201e-12
-2.262289993351014,NA,NA,-0.4342563263044648,-0.20171004374919907,0.5640770729536863,NA,0.9999987387970257,0.9999987387971746,4,-63.808796620899756,148.95092657513285,51.68665973437916,2.58209150346259e-12
-2.261215366118565,-0.1220204577658294,NA,-0.5061971729665034,NA,0.5858748506797773,NA,0.9999986261109284,0.9999986261110773,4,-64.15111441965328,149.6355621726399,52.371295331886216,1.83360125508309e-12
-2.1259927284915077,NA,NA,NA,-0.513904824054591,0.5935397691030464,NA,0.9999952668563558,0.9999952668565046,3,-69.09889099299272,150.19778198598544,52.93351514523175,1.38426875482582e-12
-2.135542379975507,NA,NA,NA,-0.43993068192173734,0.6404092845731331,-0.13094032244050607,0.99999593296437,0.9999959329645188,4,-68.4921901437654,158.31771362086414,61.05344678011045,2.38780944132277e-14
-2.140218884134899,0.20229647403298848,NA,NA,-0.7036893849395395,0.5503501284387953,NA,0.9999958765446783,0.9999958765448271,4,-68.5472985219328,158.42793037719895,61.163663536445256,2.25978124813272e-14
-2.0314814882811074,-0.3634103243697187,NA,NA,NA,0.6829278148273202,NA,0.9999820539869051,0.999982053987054,3,-74.43000450732633,160.86000901465266,63.59574217389897,6.69803225518757e-15
-2.0326826226392543,NA,NA,NA,NA,0.7503709073572691,-0.3582983555036193,0.9999770951175796,0.9999770951177285,3,-75.40593296894798,162.81186593789596,65.54759909714227,2.52410193052808e-15
-2.0656110043988116,-0.2580650648874204,NA,NA,NA,0.7372955187799914,-0.21282955925730765,0.9999876407686593,0.9999876407688082,4,-72.93814563639563,167.2096246061246,69.94535776537091,2.79992067735303e-16
-2.262015258633342,0.017321308386429476,NA,-0.429654032608664,-0.22135400706957817,0.560591785355919,NA,0.9999987399949334,0.9999987399950823,5,-63.804995561389305,167.6099911227786,70.34572428202492,2.29196110528164e-16
-1.9247144357821824,NA,NA,NA,NA,0.6379612823190745,NA,0.9998928679885887,0.9998928679887376,2,-81.57677989518305,169.5535597903661,72.28929294961242,8.67294654355745e-17
