(Intercept),Clay,mois_q50_germ,N,organic,temp_q50_germ,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-2.8423787537364564,-0.31361134219352715,NA,NA,NA,NA,NA,0.5464156348615308,0.5464275822794331,2,-39.760271562039556,85.92054312407912,20.972095648676245,1.41319007611365e-05
-2.965071707035617,-0.68970681239217,0.3814322056577658,NA,0.34512579598026505,0.7384427755582625,NA,0.9930709395502705,0.9930926531191447,5,-23.034443335403175,86.06888667080635,21.120439195403478,1.3121642074851e-05
-2.8857481049477247,NA,0.2192143544152351,NA,-0.5974621197074493,NA,0.4461096500497216,0.9219491479941816,0.921969306479871,4,-32.72098868054343,86.7753106944202,21.826863219017326,9.21701213888912e-06
-2.8220944535285497,-0.5174571139261283,NA,NA,NA,NA,0.3237309278554066,0.7265163863253618,0.7265322716593943,3,-37.736513254835664,87.47302650967133,22.524579034268456,6.50254094022839e-06
-3.054404511166976,NA,0.37584397576470147,-0.39073278150009133,0.07061823828047883,0.5474107570815598,NA,0.9917223536304212,0.9917440377123654,5,-23.745781120749285,87.49156224149857,22.543114766095698,6.44255466444468e-06
-3.05725695573996,NA,0.3499472198528859,-0.35050465252040036,NA,0.5374012172726579,-0.0028761943669231038,0.9916460391209345,0.9916677215342564,5,-23.782489560981908,87.56497912196382,22.616531646560944,6.21034660408216e-06
-2.7339416150349516,NA,NA,NA,NA,NA,NA,0,0,1,-42.9225675442486,88.51180175516387,23.563354279761,3.86826231367299e-06
-2.747035461933488,NA,0.17757573525874262,NA,NA,NA,NA,0.35004989550201515,0.35005754936863503,2,-41.199128818850106,88.79825763770022,23.849810162297345,3.35206793822561e-06
-2.987088708636752,NA,NA,-0.10637273875331078,-0.567765965249681,NA,0.21885276784730956,0.8991961719257997,0.8992158329159998,4,-33.74425175569107,88.82183684471548,23.873389369312605,3.31278043341757e-06
-2.958688033908535,0.03518004104242306,NA,NA,-0.7039925824814588,NA,0.2537919316049852,0.8970166700981286,0.8970362834333615,4,-33.82981494639334,88.99296322612003,24.044515750717153,3.0411163128e-06
-3.0352723614508332,0.18662910734783855,NA,-0.2479517785250143,-0.49204183793212414,NA,NA,0.8872382921515802,0.8872576916818627,4,-34.192653676329115,89.71864068599157,24.7701932105887,2.1157004215082e-06
