(Intercept),mois_q50_surv,N,organic,temp_q50_surv,veg,R^2,adjR^2,df,logLik,AICc,delta,weight
-0.3961083945049012,NA,-0.05670315691503039,-0.07419834779570293,-0.3813398781852484,-0.8084868210575621,0.967549808047555,0.9675803250634828,5,-41.617322255538944,103.23464451107789,10.46250001083014,0.00307046203010794
-0.29184354697972803,0.1587240986581204,0.017753579640663545,NA,NA,-0.6093069443930347,0.9435269198931776,0.9435566792149234,4,-44.94166850270832,103.59762271970234,10.825478219454595,0.00256084925668351
-0.3088607625286556,0.07673329045321704,-0.1834853059174295,0.34922422811625925,NA,-0.9059501846325738,0.952980615998559,0.9530106734947162,5,-43.84244375825734,107.68488751651468,14.91274301626693,0.000331776591403174
-0.37067066555732714,NA,0.37658315758947425,-0.9822416260538366,-0.6284875541301724,NA,0.8982870746441282,0.8983154070780108,4,-48.47201043250768,110.65830657930107,17.88616207905332,7.50198161186027e-05
-0.29722341885669357,0.4314097750478678,NA,-0.2960626763888113,NA,NA,0.8348021155734917,0.8348284456592874,3,-51.381948433985464,111.76389686797093,18.99175236772318,4.31618563009149e-05
-0.40372051178123897,NA,NA,-0.7325875194373441,-0.5676144038490438,NA,0.8262997303716736,0.8263257922878904,3,-51.68307145782735,112.3661429156547,19.593998415406958,3.19392009538786e-05
-0.3780632610791225,0.27659014737346554,NA,-0.5563061846142556,-0.3356302521239865,NA,0.8675230087447072,0.867550370864213,4,-50.057537981428396,113.82936167714251,21.057217176894767,1.53670367511231e-05
-0.26802036253487627,0.39474017015375146,0.16184654622176217,-0.382811103222659,NA,NA,0.8490930961788895,0.8491198770095245,4,-50.83906279893894,115.3924113121636,22.620266811915855,7.03360887172458e-06
-0.3644093572621761,0.11672142651218274,0.32318582260667783,-0.8711155499249938,-0.520620627817717,NA,0.9019687628663987,0.9019972114226114,5,-48.250801149623896,116.50160229924779,23.729457799000045,4.03943339582458e-06
-0.22577303310151203,0.42814539184805267,NA,NA,NA,NA,0.6630708039174684,0.6630917175098396,2,-55.658320950562754,116.64997523445884,23.877830734211088,3.75060802175372e-06
-0.21592363256989905,0.5094948990768426,NA,NA,0.17592015243999137,NA,0.7272885797130502,0.7273115187669228,3,-54.38956911005382,117.77913822010764,25.006993719859892,2.13258844250622e-06
-0.262618237010046,0.45570868228849654,-0.12349544997904409,NA,NA,NA,0.69255347057229,0.6925753140630504,3,-55.10889120928378,119.21778241856757,26.445637918319818,1.03874616362457e-06
-0.1866498813728167,NA,0.29206931484153015,-0.4540569943746902,NA,NA,0.6518397060963412,0.6518602654541416,3,-55.85506203510456,120.71012407020912,27.93797956996137,4.92551403168008e-07
-0.2306041870146278,NA,NA,-0.2958797786616225,NA,NA,0.5154418243998249,0.5154580816986577,2,-57.83850909037033,121.01035151407399,28.23820701382624,4.23894712639038e-07
-0.23663309657403372,0.5143011781546365,-0.06482864705180698,NA,0.15410710154413884,NA,0.733153485333206,0.7331766093692023,4,-54.25912595481334,122.2325376239124,29.46039312366466,2.30071941749297e-07
-0.16172073868780373,NA,NA,NA,NA,NA,0,0,1,-62.185615778658644,126.7712315573173,33.999087057069545,2.37847610485796e-08
-0.16976209370515372,NA,-0.03062242533081573,NA,NA,NA,0.00611491158151245,0.006115104448952015,2,-62.148813673331745,129.63096067999683,36.858816179749084,5.69267648862773e-09
-0.16093593615301713,NA,NA,NA,0.0059092214552817525,NA,2.860942116268417e-4,2.861032351846373e-4,2,-62.183898967792345,129.70113126891803,36.928986768670285,5.49641041706512e-09
-0.17139555895816952,NA,-0.033586122349305726,NA,-0.0064386223962080115,NA,0.006394823392844362,0.006395025088845655,3,-62.14712363146472,133.29424726292945,40.5221027626817,9.1168315295313e-10
