date,species,dish,count,
10/9/17,PICO,8,3,4
10/10/17,PICO,8,7,1
10/11/17,PICO,8,8,2
10/12/17,PICO,8,10,1
10/13/17,PICO,8,11,0
10/17/17,PICO,8,11,0
10/19/17,PICO,8,11,0
10/20/17,PICO,8,11,1
10/27/17,PICO,8,12,2
10/30/17,PICO,8,14,0
11/1/17,PICO,8,14,0
11/2/17,PICO,8,14,0
11/3/17,PICO,8,14,0
11/6/17,PICO,8,14,1
11/17/17,PICO,8,15,3
11/21/17,PICO,8,18,0
12/7/17,PICO,8,18,0
12/21/17,PICO,8,18,-18
10/6/17,PSME,8,0,0
10/9/17,PSME,8,0,0
10/10/17,PSME,8,0,0
10/11/17,PSME,8,0,1
10/12/17,PSME,8,1,0
10/13/17,PSME,8,1,7
10/17/17,PSME,8,8,1
10/19/17,PSME,8,9,1
10/20/17,PSME,8,10,2
10/27/17,PSME,8,12,1
10/30/17,PSME,8,13,0
11/1/17,PSME,8,13,0
11/2/17,PSME,8,13,0
11/3/17,PSME,8,13,0
11/6/17,PSME,8,13,0
11/17/17,PSME,8,13,0
11/21/17,PSME,8,13,0
12/7/17,PSME,8,13,0
12/21/17,PSME,8,13,-13
10/6/17,PICO,9,0,5
10/9/17,PICO,9,5,8
10/10/17,PICO,9,13,0
10/11/17,PICO,9,13,2
10/12/17,PICO,9,15,1
10/13/17,PICO,9,16,0
10/17/17,PICO,9,16,0
10/19/17,PICO,9,16,0
10/20/17,PICO,9,16,0
10/27/17,PICO,9,16,0
10/30/17,PICO,9,16,0
11/1/17,PICO,9,16,0
11/2/17,PICO,9,16,0
11/3/17,PICO,9,16,0
11/6/17,PICO,9,16,0
11/17/17,PICO,9,16,0
11/21/17,PICO,9,16,0
12/7/17,PICO,9,16,0
12/21/17,PICO,9,16,-16
10/6/17,PSME,9,0,0
10/9/17,PSME,9,0,2
10/10/17,PSME,9,2,1
10/11/17,PSME,9,3,1
10/12/17,PSME,9,4,1
10/13/17,PSME,9,5,2
10/17/17,PSME,9,7,1
10/19/17,PSME,9,8,2
10/20/17,PSME,9,10,1
10/27/17,PSME,9,11,1
10/30/17,PSME,9,12,1
11/1/17,PSME,9,13,0
11/2/17,PSME,9,13,1
11/3/17,PSME,9,14,0
11/6/17,PSME,9,14,0
11/17/17,PSME,9,14,0
11/21/17,PSME,9,14,0
12/7/17,PSME,9,14,0
12/21/17,PSME,9,14,-14
10/6/17,PICO,10,0,4
10/9/17,PICO,10,4,6
10/10/17,PICO,10,10,0
10/11/17,PICO,10,10,4
10/12/17,PICO,10,14,0
10/13/17,PICO,10,14,0
10/17/17,PICO,10,14,0
10/19/17,PICO,10,14,0
10/20/17,PICO,10,14,0
10/27/17,PICO,10,14,0
10/30/17,PICO,10,14,0
11/1/17,PICO,10,14,0
11/2/17,PICO,10,14,0
11/3/17,PICO,10,14,0
11/6/17,PICO,10,14,1
11/17/17,PICO,10,15,1
11/21/17,PICO,10,16,1
12/7/17,PICO,10,17,1
12/21/17,PICO,10,18,-18
10/6/17,PSME,10,0,1
10/9/17,PSME,10,1,3
10/10/17,PSME,10,4,0
10/11/17,PSME,10,4,0
10/12/17,PSME,10,4,1
10/13/17,PSME,10,5,2
10/17/17,PSME,10,7,0
10/19/17,PSME,10,7,0
10/20/17,PSME,10,7,2
10/27/17,PSME,10,9,1
10/30/17,PSME,10,10,0
11/1/17,PSME,10,10,0
11/2/17,PSME,10,10,0
11/3/17,PSME,10,10,0
11/6/17,PSME,10,10,0
11/17/17,PSME,10,10,0
11/21/17,PSME,10,10,0
12/7/17,PSME,10,10,0
12/21/17,PSME,10,10,-10
